year,treatment,replicate,station,core,section,horizon_length,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,top_depth,bottom_depth,depth,n_percent,c_percent
2013,TSF,3,5,2,25-50,25,1140.091828,1.648217177,1.68228028,25,50,50,0.0309,0.13
2013,TSF,3,5,2,25-Oct,15,684.0550968,1.297132285,1.373234414,10,25,25,0.05715,0.663433333
2013,TSF,3,5,2,0-10,10,456.0367312,1.033290138,1.069076166,0,10,10,0.1026,1.1318
2013,TSF,3,5,1,50-end,68,3101.049772,1.583700392,0.854405506,50,118,122,0.0118,0.0443
2013,TSF,3,5,1,25-50,25,1140.091828,1.582060973,1.620767691,25,50,50,0.032833333,0.202366667
2013,TSF,3,5,1,25-Oct,15,684.0550968,1.293093116,1.332141233,10,25,25,0.0459,0.338033333
2013,TSF,3,5,1,0-10,10,456.0367312,1.294916966,1.374928722,0,10,10,0.0909,1.002566667
2013,TSF,3,4,2,50-end,65,2964.238753,1.667482586,0.703848163,50,115,122,0.0151,0.137866667
2013,TSF,3,4,2,25-50,25,1140.091828,1.524380141,1.591945452,25,50,50,0.0229,0.1745
2013,TSF,3,4,2,25-Oct,15,684.0550968,1.314889989,1.398203163,10,25,25,0.053,0.5263
2013,TSF,3,4,2,0-10,10,456.0367312,1.299596489,1.350654362,0,10,10,0.145666667,1.540666667
2013,TSF,3,4,1,50-end,68,3101.049772,1.637624703,0.777973324,50,118,122,0.013466667,0.07
2013,TSF,3,4,1,25-50,25,1140.091828,1.543556557,1.594427708,25,50,50,0.023366667,0.131533333
2013,TSF,3,4,1,25-Oct,15,684.0550968,1.334599293,1.331059449,10,25,25,0.050733333,0.482166667
2013,TSF,3,4,1,0-10,10,456.0367312,1.208509698,1.241452632,0,10,10,0.1326,1.58905
2013,TSF,3,3,2,50-end,72,3283.464465,1.442562647,0.933905036,50,122,122,0.013433333,0.073366667
2013,TSF,3,3,2,25-50,25,1140.091828,1.587806647,1.646441062,25,50,50,0.024033333,0.169433333
2013,TSF,3,3,2,25-Oct,15,684.0550968,1.377372328,1.554097038,10,25,25,0.0564,0.5765
2013,TSF,3,3,2,0-10,10,456.0367312,1.013710578,1.077255331,0,10,10,0.140666667,1.517066667
2013,TSF,3,3,1,50-end,64,2918.63508,1.38557959,1.12184083,50,114,122,0.02075,0.1091
2013,TSF,3,3,1,25-50,25,1140.091828,1.569418357,1.59343656,25,50,50,0.03575,0.245766667
2013,TSF,3,3,1,25-Oct,15,684.0550968,1.381976984,1.46001105,10,25,25,0.054566667,0.613766667
2013,TSF,3,3,1,0-10,10,456.0367312,1.211702098,1.307499943,0,10,10,0.145666667,1.4647
2013,TSF,2,5,2,50-end,67,3055.446099,1.511820636,0.77804809,50,117,122,0.011233333,0.105433333
2013,TSF,2,5,2,25-50,25,1140.091828,1.620448934,1.653501897,25,50,50,0.029033333,0.2923
2013,TSF,2,5,2,25-Oct,15,684.0550968,1.316918919,1.324232513,10,25,25,0.044966667,0.540033333
2013,TSF,2,5,2,0-10,10,456.0367312,1.23188484,1.250465063,0,10,10,0.108666667,1.4363
2013,TSF,2,5,1,50-end,67,3055.446099,1.485764204,1.000333143,50,117,122,0.0131,0.048633333
2013,TSF,2,5,1,25-50,25,1140.091828,1.464366022,1.543063424,25,50,50,0.030766667,0.2074
2013,TSF,2,5,1,25-Oct,15,684.0550968,1.320885259,1.364185435,10,25,25,0.0557,0.638266667
2013,TSF,2,5,1,0-10,10,456.0367312,1.04073832,1.051818784,0,10,10,0.140066667,1.939166667
2013,TSF,2,4,2,50-end,66,3009.842426,1.407044785,0.897257603,50,116,122,0.016033333,0.096233333
2013,TSF,2,4,2,25-50,25,1140.091828,1.65669655,1.663887025,25,50,50,0.018933333,0.198866667
