# Soil Bulk Density by Depth - Deep Cores
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/308
# The newest version of the data https://lter.kbs.msu.edu/datatables/308.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		sample year
# treatment		treatment that was sampled
# replicate		replicate plot that was sampled
# station		station within the plot that was sampled
# core		core identifier for the station (generally two cores were taken per station)
# section		horizon section (cores were divided into surface, middle and deep sections)
# horizon_length	centimeter	length of the horizon sampled
# total_bulk_density	gramsPerCubicCentimeter	bulk density (including any gravel)
# comments		any observations relating to this core
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,comments
#,,,,,,centimeter,gramsPerCubicCentimeter,
2013,TDF,2,3,1,10-25cm,15,1.2805664399, 
2013,TDF,2,3,1,0-10cm,10,1.0796454898, 
2013,TDF,2,2,2,50-end cm,64,0.844091136,Dropped some soil on ground when putting into bag initially  
2013,TDF,2,2,2,25-50cm,25,1.4107495208, 
2013,TDF,2,2,2,10-25cm,15,1.1552548965, 
2013,TDF,2,2,2,0-10cm,10,0.4198521455,"Lots of bits of twigs/bark; ""Granby"" written on core "
2013,TDF,2,2,1,50-end cm,59,0.8594215549, 
2013,TDF,2,2,1,25-50cm,25,1.4239852968, 
2013,TDF,2,2,1,10-25cm,15,1.3029915342, 
2013,TDF,2,2,1,0-10cm,10,1.1067485698, 
2013,TDF,2,1,2,50-end cm,63,0.7937344489, 
2013,TDF,2,1,2,25-50cm,25,1.5065488216, 
2013,TDF,2,1,2,10-25cm,15,1.4057025589, 
2013,TDF,2,1,2,0-10cm,10,1.1688488307, 
2013,TDF,2,1,1,50-end cm,64,0.7873625641, 
2013,TDF,2,1,1,25-50cm,25,1.4307391387, 
2013,TDF,2,1,1,10-25cm,15,1.3318196214, 
2013,TDF,2,1,1,0-10cm,10,1.3099997416, 
2013,TDF,1,5,2,50-end cm,64,0.9811791889, 
2013,TDF,1,5,2,25-50cm,25,1.5750608468, 
2013,TDF,1,5,2,10-25cm,15,1.2509927987, 
2013,TDF,1,5,2,0-10cm,10,1.1546175209, 
2013,TDF,1,5,1,50-end cm,64,0.9728465267, 
2013,TDF,1,5,1,25-50cm,25,1.6308809119, 
2013,TDF,1,5,1,10-25cm,15,1.219854956,Moldy spot 
2013,TDF,1,5,1,0-10cm,10,1.3243626197, 
2013,TDF,1,4,2,50-end cm,65,0.8295094306, 
2013,TDF,1,4,2,25-50cm,25,1.7178300484, 
2013,TDF,1,4,2,10-25cm,15,1.0165087626, 
2013,TDF,1,4,2,0-10cm,10,0.9618479609, 
2013,TDF,1,4,1,50-end cm,63,1.0233595057, 
2013,TDF,1,4,1,25-50cm,25,1.6699216267, 
2013,TDF,1,4,1,10-25cm,15,1.1859834154, 
2013,TDF,1,4,1,0-10cm,10,1.2418254085, 
2013,TDF,1,3,2,50-end cm,65,0.9372234262, 
2013,TDF,1,3,2,25-50cm,25,1.5695612898, 
2013,TDF,1,3,2,10-25cm,15,1.3774299825, 
2013,TDF,1,3,2,0-10cm,10,0.8793107497, 
2013,TDF,1,3,1,50-end cm,63,0.7451620595, 
2013,TDF,1,3,1,25-50cm,25,1.4361772972, 
2013,TDF,1,3,1,10-25cm,15,1.2924514475, 
2013,TDF,1,3,1,0-10cm,10,1.2409482862, 
2013,TDF,1,2,2,50-end cm,66,0.896207714, 
2013,TDF,1,2,2,25-50cm,25,1.5650704235, 
2013,TDF,1,2,2,10-25cm,15,1.3828242848, 
2013,TDF,1,2,2,0-10cm,10,1.1138751887, 
2013,TDF,1,2,1,50-end cm,66,0.8119740685, 
2013,TDF,1,2,1,25-50cm,25,1.5552817383, 
2013,TDF,1,2,1,10-25cm,15,1.2835486558, 
2013,TDF,1,2,1,0-10cm,10,0.8339196692, 
2013,TDF,1,1,2,50-end cm,66,0.6617535798, 
2013,TDF,1,1,2,25-50cm,25,1.6643957561, 
2013,TDF,1,1,2,10-25cm,15,1.4359632793, 
2013,TDF,1,1,2,0-10cm,10,1.1953598531, 
2013,TDF,1,1,1,50-end cm,63,0.7535643346, 
2013,TDF,1,1,1,25-50cm,25,1.6134963473, 
2013,TDF,1,1,1,10-25cm,15,1.3789064718, 
2013,TDF,1,1,1,0-10cm,10,1.1228656926, 
2013,TCF,3,5,2,50-end cm,68,0.931988911, 
