# Soil Total Carbon and Nitrogen by Depth - Deep Cores
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/164
# The newest version of the data https://lter.kbs.msu.edu/datatables/164.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		date the sample was taken
# treatment		treatment the sample was collected from
# replicate		replicate that the sample was collected from
# station		station within the plot that was sampled
# core		there were 2 cores taken at each sample site. in 2001 core 1 was analyzed and core 2 was archived.
# depth		slice of the deepcore
# n_percent	gramsPerHectograms	average percent N in the sample
# c_percent	gramsPerHectograms	average percent of C in the sample
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2012-1-12. Sven Bohm. Discovered that T4 rep 6 had some sample_dates coded as 2006 rather than 2001. I've corrected the dates.
#2012-1-13. Sven Bohm. Included the core in the data. In 2001 we only analyzed core 1. I also discovered that the dataset included all the individual approved measurements. I changed it to report one average measurement for each treatment, replicate, depth (section) and core.
#
sample_date,treatment,replicate,station,core,depth,n_percent,c_percent
#,,,,,,gramsPerHectograms,gramsPerHectograms
2010-10-20,TDF,2,5,C2,Surface,0.0884,1.1885
2010-10-19,TCF,2,1,C2,Deep,0.0290,0.0415
2010-10-19,TCF,2,1,C1,Deep,0.0075,0.0730
2010-10-19,TCF,2,1,C1,Middle,0.0340,0.1937
2010-10-19,TCF,2,1,C2,Middle,0.1290,0.4717
2010-10-19,TCF,2,1,C1,Surface,0.0665,0.9093
2010-10-19,TCF,2,1,C2,Surface,0.1626,1.9426
2010-10-19,TCF,2,2,C1,Deep,0.0013,0.0440
2010-10-19,TCF,2,2,C2,Deep,0.0203,0.0797
2010-10-19,TCF,2,2,C2,Middle,0.0593,0.1373
2010-10-19,TCF,2,2,C1,Middle,0.0302,0.2011
2010-10-19,TCF,2,2,C1,Surface,0.1062,0.9471
2010-10-19,TCF,2,2,C2,Surface,0.0733,0.7963
2010-10-19,TCF,2,3,C2,Deep,0.0465,0.0513
2010-10-19,TCF,2,3,C2,Middle,0.0550,0.0053
2010-10-19,TCF,2,3,C1,Middle,0.0167,0.0565
2010-10-19,TCF,2,3,C2,Surface,0.0969,0.8763
2010-10-19,TCF,2,3,C1,Surface,0.0407,0.6847
2010-10-19,TSF,2,1,C1,Deep,0.0168,0.0530
2010-10-19,TSF,2,1,C2,Deep,0.0020,0.0567
2010-10-19,TSF,2,1,C1,Middle,0.0464,0.1703
2010-10-19,TSF,2,1,C2,Middle,0.0163,0.0210
2010-10-19,TSF,2,1,C2,Surface,0.0380,0.7265
2010-10-19,TSF,2,1,C1,Surface,0.0464,0.3932
2010-10-19,TSF,2,2,C2,Deep,0.0323,0.0384
2010-10-19,TSF,2,2,C2,Middle,0.0456,0.0840
2010-10-19,TSF,2,2,C1,Middle,0.0286,0.0450
2010-10-19,TSF,2,2,C1,Surface,0.0450,0.3660
2010-10-19,TSF,2,2,C2,Surface,0.1023,0.9044
2010-10-19,TSF,2,3,C2,Deep,0.0103,0.0753
2010-10-19,TSF,2,3,C1,Middle,0.0045,0.0633
2010-10-19,TSF,2,3,C2,Middle,0.0323,0.1380
2010-10-19,TSF,2,3,C2,Surface,0.0690,0.8140
2010-10-19,TSF,2,3,C1,Surface,0.0591,0.4802
2010-10-19,TSF,2,4,C1,Deep,0.0600,0.1127
2010-10-19,TSF,2,4,C2,Deep,0.0249,0.0043
2010-10-19,TSF,2,4,C2,Middle,0.0487,0.2027
2010-10-19,TSF,2,4,C1,Middle,0.0425,0.0866
2010-10-19,TSF,2,4,C2,Surface,0.0770,0.8337
2010-10-19,TSF,2,4,C1,Surface,0.0896,0.6064
2010-10-19,TSF,2,5,C2,Deep,0.0367,0.0250
2010-10-19,TSF,2,5,C1,Deep,0.0073,0.0527
2010-10-19,TSF,2,5,C1,Middle,0.0137,0.1870
2010-10-19,TSF,2,5,C2,Middle,0.0633,0.2843
2010-10-19,TSF,2,5,C1,Surface,0.0698,0.9810
2010-10-19,TSF,2,5,C2,Surface,0.0893,1.2157
2010-10-18,TCF,2,4,C2,Deep,0.0583,0.0459
2010-10-18,TCF,2,4,C1,Middle,0.0051,0.0519
2010-10-18,TCF,2,4,C2,Middle,0.0203,0.0847
2010-10-18,TCF,2,4,C1,Surface,0.0585,0.6157
2010-10-18,TCF,2,4,C2,Surface,0.0319,0.4323
2010-10-18,TCF,2,5,C2,Deep,0.0067,0.0770
2010-10-18,TCF,2,5,C2,Middle,0.0121,0.1505
2010-10-18,TCF,2,5,C1,Middle,0.0044,0.0657
2010-10-18,TCF,2,5,C2,Surface,0.0300,0.5453
2010-10-18,TCF,2,5,C1,Surface,0.0587,0.6637
2010-10-18,TSF,3,1,C2,Deep,0.0028,0.8335
2010-10-18,TSF,3,1,C2,Middle,0.0534,0.1678
2010-10-18,TSF,3,1,C1,Middle,0.0681,0.2155
2010-10-18,TSF,3,1,C1,Surface,0.0283,0.2313
2010-10-18,TSF,3,1,C2,Surface,0.0726,0.3447
2010-10-18,TSF,3,2,C2,Deep,0.0698,0.0675
2010-10-18,TSF,3,2,C2,Middle,0.0761,0.4188
2010-10-18,TSF,3,2,C1,Middle,0.0329,0.3513
2010-10-18,TSF,3,2,C2,Surface,0.0980,1.0265
2010-10-18,TSF,3,2,C1,Surface,0.0834,0.7637
2010-10-18,TSF,3,3,C2,Deep,0.0289,0.1007
2010-10-18,TSF,3,3,C1,Deep,0.0165,0.0729
2010-10-18,TSF,3,3,C2,Middle,0.0385,0.0980
2010-10-18,TSF,3,3,C1,Middle,0.0538,0.3834
2010-10-18,TSF,3,3,C1,Surface,0.0890,1.2323
2010-10-18,TSF,3,3,C2,Surface,0.0760,0.8675
2010-10-18,TSF,3,4,C1,Deep,0.0120,0.0101
2010-10-18,TSF,3,4,C2,Deep,0.0472,0.0366
2010-10-18,TSF,3,4,C2,Middle,0.0510,0.0247
2010-10-18,TSF,3,4,C1,Middle,0.0594,0.1342
2010-10-18,TSF,3,4,C1,Surface,0.0823,0.6275
2010-10-18,TSF,3,4,C2,Surface,0.0645,0.2790
2010-10-18,TSF,3,5,C1,Deep,0.0037,0.2015
2010-10-18,TSF,3,5,C2,Deep,0.0187,0.0143
2010-10-18,TSF,3,5,C2,Middle,0.0146,0.1391
2010-10-18,TSF,3,5,C1,Middle,0.0964,0.6364
2010-10-18,TSF,3,5,C1,Surface,0.1822,2.9844
2010-10-18,TSF,3,5,C2,Surface,0.0678,0.6838
2010-10-15,T1,4,5,C1,Middle,0.0287,0.0880
2010-10-15,TCF,3,3,C2,Deep,0.0300,0.0275
2010-10-15,TCF,3,3,C1,Deep,0.0156,0.0589
2010-10-15,TCF,3,3,C2,Middle,0.0199,0.1758
2010-10-15,TCF,3,3,C1,Middle,0.0122,0.1365
2010-10-15,TCF,3,3,C1,Surface,0.0970,1.0490
2010-10-15,TCF,3,3,C2,Surface,0.0785,0.8358
2010-10-15,TCF,3,4,C1,Deep,0.0120,0.0717
2010-10-15,TCF,3,4,C2,Deep,0.0204,0.0577
2010-10-15,TCF,3,4,C2,Middle,0.0351,0.0823
2010-10-15,TCF,3,4,C1,Middle,0.0071,0.0465
2010-10-15,TCF,3,4,C1,Surface,0.0593,0.6595
2010-10-15,TCF,3,4,C2,Surface,0.0963,0.7131
2010-10-15,TCF,3,5,C2,Deep,0.0050,0.0593
2010-10-15,TCF,3,5,C1,Deep,0.0257,0.0853
2010-10-15,TCF,3,5,C2,Middle,0.0180,0.0240
2010-10-15,TCF,3,5,C1,Middle,0.0206,0.0440
2010-10-15,TCF,3,5,C2,Surface,0.0944,0.9499
2010-10-15,TDF,3,1,C2,Deep,0.0410,0.0853
2010-10-15,TDF,3,1,C1,Middle,0.0707,0.1343
2010-10-15,TDF,3,1,C2,Middle,0.0725,0.1205
2010-10-15,TDF,3,1,C2,Surface,0.0963,0.8700
2010-10-15,TDF,3,1,C1,Surface,0.1323,1.4036
2010-10-15,TDF,3,2,C1,Deep,0.0447,0.2588
2010-10-15,TDF,3,2,C2,Deep,0.0227,0.0970
2010-10-15,TDF,3,2,C2,Middle,0.0463,0.1623
2010-10-15,TDF,3,2,C1,Middle,0.0372,1.0041
2010-10-15,TDF,3,2,C2,Surface,0.0840,0.7860
2010-10-15,TDF,3,2,C1,Surface,0.0854,1.9066
2010-10-15,TDF,3,3,C2,Deep,0.0344,0.0750
2010-10-15,TDF,3,3,C1,Deep,0.0283,0.7090
2010-10-15,TDF,3,3,C2,Middle,0.0694,0.1722
2010-10-15,TDF,3,3,C1,Middle,0.0261,0.0542
2010-10-15,TDF,3,3,C2,Surface,0.1090,0.8820
2010-10-15,TDF,3,3,C1,Surface,0.1367,0.6503
2010-10-15,TDF,3,4,C1,Middle,0.1470,0.4670
2010-10-15,TDF,3,4,C2,Middle,0.0275,0.0571
2010-10-15,TDF,3,4,C2,Surface,0.0883,0.8895
2010-10-15,TDF,3,4,C1,Surface,0.0600,0.8283
2010-10-15,TDF,3,5,C1,Deep,0.0053,0.0577
2010-10-15,TDF,3,5,C2,Middle,0.0320,0.0630
2010-10-15,TDF,3,5,C1,Middle,0.0130,0.0530
2010-10-15,TDF,3,5,C2,Surface,0.1463,1.7193
2010-10-15,TDF,3,5,C1,Surface,0.0930,0.5837
2010-10-14,T8,4,1,C2,Deep,0.0153,0.1613
2010-10-14,T8,4,1,C1,Deep,0.0392,0.0088
2010-10-14,T8,4,1,C2,Middle,0.0020,0.1003
2010-10-14,T8,4,1,C1,Middle,0.0351,0.1668
2010-10-14,T8,4,1,C1,Surface,0.1509,1.4890
2010-10-14,T8,4,1,C2,Surface,0.2187,3.4077
2010-10-14,T8,4,2,C1,Deep,0.0336,0.0062
2010-10-14,T8,4,2,C2,Deep,0.0093,0.1295
2010-10-14,T8,4,2,C2,Middle,0.0625,0.3364
2010-10-14,T8,4,2,C1,Middle,0.0487,0.1843
2010-10-14,T8,4,2,C2,Surface,0.1420,1.5653
2010-10-14,T8,4,2,C1,Surface,0.0912,1.1951
2010-10-14,T8,4,3,C2,Deep,0.0080,0.0603
2010-10-14,T8,4,3,C2,Middle,0.0413,0.1039
