year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,
2001,TCF,2,2,2,Surface,16,0.949389182,
2001,TCF,2,2,2,Middle,44,1.478453923,
2001,TCF,2,2,2,Deep,40,1.51597778,
2001,TCF,2,2,1,Surface,18,1.144637058,
2001,TCF,2,2,1,Middle,40,1.459992454,
2001,TCF,2,2,1,Deep,42,1.529090861,
2001,TCF,2,1,2,Surface,25,1.280012841,
2001,TCF,2,1,2,Middle,42,1.569790835,
2001,TCF,2,1,2,Deep,33,1.496161379,
2001,TCF,2,1,1,Surface,25,1.165226201,
2001,TCF,2,1,1,Middle,58,1.556247886,
2001,TCF,2,1,1,Deep,17,1.610684872,
2001,TCF,1,5,2,Surface,21,1.129779687,
2001,TCF,1,5,2,Middle,37,1.456555133,
2001,TCF,1,5,2,Deep,37,1.308801342,comp
2001,TCF,1,5,1,Surface,18,1.221592701,
2001,TCF,1,5,1,Middle,31,1.402201589,
2001,TCF,1,5,1,Deep,51,1.425961946,
2001,TCF,1,4,2,Surface,17,1.159701415,
2001,TCF,1,4,2,Middle,58,1.466272202,
2001,TCF,1,4,2,Deep,25,1.469818986,
2001,TCF,1,4,1,Surface,23,1.123106232,
2001,TCF,1,4,1,Middle,12,1.413579139,
2001,TCF,1,4,1,Deep,65,1.4735096,
2001,TCF,1,3,2,Surface,22,1.1199166,
2001,TCF,1,3,2,Middle,59,1.455796607,
2001,TCF,1,3,2,Deep,15,1.480646614,comp
2001,TCF,1,3,1,Surface,19,1.208514596,
2001,TCF,1,3,1,Middle,22,1.529423395,
2001,TCF,1,3,1,Deep,53,1.484010005,comp
2001,TCF,1,2,2,Surface,30,1.175093351,
2001,TCF,1,2,2,Middle,55,1.495191314,
2001,TCF,1,2,2,Deep,15,1.301028161,
2001,TCF,1,2,1,Surface,31,1.108111451,
2001,TCF,1,2,1,Middle,44,1.506767759,
2001,TCF,1,2,1,Deep,25,1.442698245,
2001,TCF,1,1,2,Surface,28,1.163850111,
2001,TCF,1,1,2,Middle,19,1.3207371,
2001,TCF,1,1,2,Deep,49,1.525932988,comp
2001,TCF,1,1,1,Surface,25,0.978246951,
2001,TCF,1,1,1,Middle,56,1.43416304,
2001,TCF,1,1,1,Deep,19,1.415811981,
2001,T8,4,5,2,Surface,16,1.061698557,
2001,T8,4,5,2,Middle,33,1.448855961,
2001,T8,4,5,2,Deep,51,1.452715259,
2001,T8,4,5,1,Surface,11,1.110317296,
2001,T8,4,5,1,Middle,32,1.466970346,
2001,T8,4,5,1,Deep,57,1.372538029,
2001,T8,4,4,2,Surface,13,1.065758283,
2001,T8,4,4,2,Middle,39,1.48275682,
2001,T8,4,4,2,Deep,48,1.47932378,
2001,T8,4,4,1,Surface,14,1.089075954,compressed to 96cm
2001,T8,4,4,1,Middle,33,1.410530074,
2001,T8,4,4,1,Deep,49,1.394874677,
2001,T8,4,3,2,Surface,15,0.951118555,
2001,T8,4,3,2,Middle,38,1.350496913,charcoal
2001,T8,4,3,2,Deep,47,1.469817398,
2001,T8,4,3,1,Surface,13,0.815249586,root mass
2001,T8,4,3,1,Middle,38,1.387284985,
2001,T8,4,3,1,Deep,49,1.448243049,
2001,T8,4,2,2,Surface,14,1.129304342,
2001,T8,4,2,2,Middle,32,1.392608443,
2001,T8,4,2,2,Deep,54,1.293579675,
2001,T8,4,2,1,Surface,14,1.114459616,
2001,T8,4,2,1,Middle,35,1.493411438,
2001,T8,4,2,1,Deep,51,1.330903595,
2001,T8,4,1,2,Surface,15,0.991516441,
2001,T8,4,1,2,Middle,31,1.376398327,
2001,T8,4,1,2,Deep,54,1.400586549,
2001,T8,4,1,1,Surface,19,1.101162924,
2001,T8,4,1,1,Middle,27,1.440216834,
2001,T8,4,1,1,Deep,54,1.32798879,
2001,T8,3,5,2,Surface,22,0.948251247,
2001,T8,3,5,2,Middle,27,1.347488175,
2001,T8,3,5,2,Deep,51,1.408683624,
2001,T8,3,5,1,Surface,10,0.968484288,
2001,T8,3,5,1,Middle,33,1.363986651,
2001,T8,3,5,1,Deep,57,1.438137129,
2001,T8,3,4,2,Surface,13,0.851197419,
2001,T8,3,4,2,Middle,39,1.33201219,
2001,T8,3,4,2,Deep,48,1.417270757,
2001,T8,3,4,1,Surface,13,0.877694592,
2001,T8,3,4,1,Middle,40,1.253737901,
2001,T8,3,4,1,Deep,47,1.310410306,
2001,T8,3,3,2,Surface,18,0.883929402,
2001,T8,3,3,2,Middle,32,1.304976631,
2001,T8,3,3,2,Deep,50,1.430569694,
2001,T8,3,3,1,Surface,12,0.990568689,
2001,T8,3,3,1,Middle,31,1.273966807,
2001,T8,3,3,1,Deep,57,1.422091385,
2001,T8,3,2,2,Surface,13,0.986995434,
2001,T8,3,2,2,Middle,39,1.368916865,
2001,T8,3,2,2,Deep,48,1.464868283,
2001,T8,3,2,1,Surface,11,0.90029909,
2001,T8,3,2,1,Middle,35,1.337402388,
2001,T8,3,2,1,Deep,54,1.449698079,
2001,T8,3,1,2,Surface,11,1.051393202,
2001,T8,3,1,2,Middle,45,1.28702573,charcoal
2001,T8,3,1,2,Deep,44,1.42311864,
2001,T8,3,1,1,Surface,23,1.062430776,
2001,T8,3,1,1,Middle,34,1.326739923,
2001,T8,3,1,1,Deep,43,1.445787066,
2001,T8,2,5,2,Surface,16,1.113493632,
2001,T8,2,5,2,Middle,44,1.272520347,
2001,T8,2,5,2,Deep,40,1.445209239,
2001,T8,2,5,1,Surface,15,1.059624482,
2001,T8,2,5,1,Middle,31,1.374777869,
2001,T8,2,5,1,Deep,54,1.306979721,
2001,T8,2,4,2,Surface,15,0.991956588,
2001,T8,2,4,2,Middle,38,1.330545238,horizon end changed from 47 to 53
2001,T8,2,4,2,Deep,47,1.400007399,
2001,T8,2,4,1,Surface,17,0.967365964,
2001,T8,2,4,1,Middle,43,1.368616615,horizon end changed from 48 to 60
2001,T8,2,4,1,Deep,40,1.374260572,
2001,T8,2,3,2,Surface,17,0.962317214,
2001,T8,2,3,2,Middle,35,1.413725604,
2001,T8,2,3,2,Deep,48,1.430368135,
2001,T8,2,3,1,Surface,16,1.013581346,
2001,T8,2,3,1,Middle,35,1.295435281,
2001,T8,2,3,1,Deep,49,1.362020615,
2001,T8,2,2,2,Surface,12,1.115580146,
2001,T8,2,2,2,Middle,37,1.323382068,
2001,T8,2,2,2,Deep,51,1.412892605,
2001,T8,2,2,1,Surface,12,1.012599984,
2001,T8,2,2,1,Middle,46,1.36177434,
2001,T8,2,2,1,Deep,42,1.430940019,
2001,T8,2,1,2,Surface,9,0.988670154,root mass
2001,T8,2,1,2,Middle,33,1.307271993,
2001,T8,2,1,2,Deep,58,1.415023394,
2001,T8,2,1,1,Surface,12,0.948539387,root mass
2001,T8,2,1,1,Middle,35,1.312350887,
2001,T8,2,1,1,Deep,53,1.431387826,
2001,T8,1,5,2,Surface,10,1.050638775,
2001,T8,1,5,2,Middle,34,1.330458945,
2001,T8,1,5,2,Deep,56,1.441534656,charcoal
2001,T8,1,5,1,Surface,11,1.044634415,
2001,T8,1,5,1,Middle,38,1.355160009,
2001,T8,1,5,1,Deep,51,1.440140099,
2001,T8,1,4,2,Surface,11,1.027959262,
2001,T8,1,4,2,Middle,40,1.337187714,
2001,T8,1,4,2,Deep,49,1.442442241,
2001,T8,1,4,1,Surface,25,1.014259436,
2001,T8,1,4,1,Middle,22,1.374263573,
2001,T8,1,4,1,Deep,53,1.416569407,
2001,T8,1,3,2,Surface,12,0.993223926,
2001,T8,1,3,2,Middle,37,1.345810971,
2001,T8,1,3,2,Deep,51,1.413412825,
2001,T8,1,3,1,Surface,14,1.081940644,large root mass
2001,T8,1,3,1,Middle,31,1.369564621,
2001,T8,1,3,1,Deep,55,1.415735644,
2001,T8,1,2,2,Surface,13,1.096627491,
2001,T8,1,2,2,Middle,36,1.381344714,horiz length from  26 to 13 
2001,T8,1,2,2,Deep,51,1.439104458,
2001,T8,1,2,1,Surface,11,1.055072696,
2001,T8,1,2,1,Middle,31,1.318126626,
2001,T8,1,2,1,Deep,58,1.466678035,
2001,T8,1,1,2,Surface,12,1.13028203,
2001,T8,1,1,2,Middle,37,1.28359501,
2001,T8,1,1,2,Deep,51,1.424279029,
2001,T8,1,1,1,Surface,18,1.132654201,
2001,T8,1,1,1,Middle,23,1.303163168,
